userID,restaurantID,RName,Cuisine,Area,Seats,Halls_Count,Summer_Terrace,VIP_Zone,Avg_Bill,Staff_Count,Michelin_Stars,Age,Gender,Profession,Openness,Conscientiousness,Extraversion,Agreeableness,Neuroticism,Rating
V0209,R002,Artest Chef’s Table,Japanese,160,121,1,No,No,3285,32,0,33,Female,Student,0.48,0.5,0.56,0.73,0.38,2.5
V0032,R039,Fahrenheit,Georgian,154,84,1,No,Yes,4056,31,1,59,Male,Student,0.55,0.42,1.0,0.68,0.22,2.5
V0255,R038,Corner Cafe,Author's,175,125,2,Yes,No,5889,21,0,39,Male,IT Specialist,0.38,0.73,0.59,0.59,0.29,1.0
V0943,R005,Selfie,Seafood,192,129,1,No,Yes,2810,38,0,55,Female,Medical,0.55,0.44,0.47,0.38,0.64,3.0
V0314,R035,Avocado Queen,Georgian,271,72,2,No,Yes,4157,57,0,24,Female,Finance,0.4,0.28,0.36,0.68,0.37,3.0
V0641,R047,Sartoria Lamberti,Italian,147,39,2,Yes,No,5986,28,0,51,Female,Manager,0.85,0.57,0.58,0.52,0.52,2.5
V0208,R008,Biologie,Asian,96,53,2,Yes,Yes,3185,5,0,23,Female,Service Worker,0.77,0.82,1.0,0.56,0.68,2.0
V0406,R020,Peshi,Fusion,142,37,1,Yes,No,5212,22,0,63,Male,IT Specialist,0.58,0.66,0.75,0.66,0.45,3.0
V0180,R034,Butler,Georgian,279,77,1,Yes,No,2967,40,0,34,Male,Sales,0.72,0.35,0.48,0.53,0.49,2.5
V0519,R029,Chemodan,Italian,102,48,1,Yes,No,4062,19,0,55,Female,Manager,0.33,0.61,0.65,0.65,0.72,2.5
V0677,R008,Biologie,Asian,96,53,2,Yes,Yes,3185,5,0,58,Male,Manager,0.34,0.48,0.76,0.51,0.31,2.5
V0007,R024,Pinch,Fusion,125,73,1,Yes,No,2893,13,0,64,Female,Student,0.57,0.51,0.61,0.64,0.67,2.0
V0954,R002,Artest Chef’s Table,Japanese,160,121,1,No,No,3285,32,0,29,Female,Manager,0.48,0.71,0.31,0.7,0.87,2.5
V0308,R038,Corner Cafe,Author's,175,125,2,Yes,No,5889,21,0,53,Male,Service Worker,0.64,0.29,0.39,0.72,0.51,1.0
V0550,R018,La Marée,Asian,67,56,2,No,No,5289,11,0,56,Female,Medical,0.57,0.64,0.2,0.57,0.28,2.5
V0071,R023,Cristal Room Baccarat,French,108,79,2,Yes,No,6023,19,0,26,Female,Creative,0.9,0.81,1.0,0.65,0.45,2.0
V0437,R035,Avocado Queen,Georgian,271,72,2,No,Yes,4157,57,0,32,Male,Student,0.78,0.38,0.62,0.53,0.54,2.5
V0667,R050,Probka na Tsvetnom,Author's,173,37,2,Yes,Yes,3768,27,0,18,Female,Student,0.55,0.48,0.76,0.49,0.58,1.0
V0885,R006,Beluga,Georgian,424,64,3,Yes,Yes,6502,72,0,34,Male,Student,0.64,0.51,0.72,0.4,0.45,3.0
V0665,R006,Beluga,Georgian,424,64,3,Yes,Yes,6502,72,0,44,Female,Manager,0.56,0.51,0.45,0.53,0.65,3.5
V0650,R033,Assunta Madre,Russian,282,54,3,Yes,No,3981,45,0,44,Male,Sales,0.88,0.57,0.44,0.7,0.2,3.0
V0491,R027,Wine & Crab,Russian,274,46,2,Yes,No,2744,44,0,50,Male,Manager,0.62,0.58,0.36,0.69,0.77,2.0
V0891,R016,Padron,Mediterranean,440,60,1,Yes,No,4316,76,0,20,Female,Service Worker,0.46,0.73,0.5,0.66,0.69,2.5
V0423,R029,Chemodan,Italian,102,48,1,Yes,No,4062,19,0,40,Male,Sales,0.36,0.68,0.4,0.6,0.42,3.0
V0528,R035,Avocado Queen,Georgian,271,72,2,No,Yes,4157,57,0,40,Female,Scientist,0.71,0.74,0.57,0.44,0.19,3.5
V0755,R011,Probka,Georgian,332,61,1,No,No,3747,57,1,34,Female,Creative,0.71,0.25,0.5,0.56,0.71,3.5
V0393,R042,AQ Kitchen,Author's,162,31,1,Yes,No,2506,32,0,60,Female,Creative,0.63,0.78,0.18,0.63,0.33,1.0
V0183,R041,Aist,Mediterranean,127,59,1,No,No,5174,19,0,53,Female,Creative,0.62,0.62,0.31,0.57,0.5,2.5
V0972,R009,Sakhalin,Seafood,128,78,2,Yes,No,4288,29,0,39,Male,Finance,0.63,0.5,0.84,0.42,0.43,2.0
V0999,R007,Grand Cru,Italian,227,46,2,No,No,5496,38,1,48,Female,Service Worker,0.54,0.44,0.51,0.67,0.54,3.5
V0051,R008,Biologie,Asian,96,53,2,Yes,Yes,3185,5,0,43,Male,Sales,0.45,0.66,0.46,0.63,0.58,4.0
V0124,R003,White Rabbit,Author's,392,55,1,Yes,No,5149,64,0,34,Male,Medical,0.33,0.78,0.59,0.7,0.48,2.5
V0097,R047,Sartoria Lamberti,Italian,147,39,2,Yes,No,5986,28,0,36,Female,Scientist,0.92,0.59,0.11,0.56,0.59,3.0
V0759,R010,Cafe Pushkin,Italian,144,63,3,No,No,3361,20,0,29,Female,Creative,0.73,0.8,0.23,0.69,0.23,2.5
V0453,R048,Eggsellent,Seafood,143,93,2,No,Yes,3760,23,0,25,Female,Medical,0.62,0.37,0.59,0.6,0.46,2.5
V0438,R027,Wine & Crab,Russian,274,46,2,Yes,No,2744,44,0,55,Female,Medical,0.66,0.58,0.14,0.47,0.36,3.5
V0605,R015,Big Wine Freaks,Fusion,136,36,2,No,No,5540,22,0,22,Male,Student,0.25,0.67,0.41,0.59,0.32,2.0
V0791,R049,Margarita Bistro,Georgian,266,63,3,No,No,3019,49,0,63,Female,Student,0.37,0.81,0.29,0.64,0.16,2.0
V0897,R016,Padron,Mediterranean,440,60,1,Yes,No,4316,76,0,50,Female,Scientist,0.41,0.47,0.53,0.56,0.27,3.5
V0047,R010,Cafe Pushkin,Italian,144,63,3,No,No,3361,20,0,51,Male,Finance,0.7,0.57,0.56,0.81,0.73,3.0
V0724,R009,Sakhalin,Seafood,128,78,2,Yes,No,4288,29,0,28,Female,Medical,0.44,0.6,0.52,0.6,0.21,2.0
V0893,R044,Pushkin,Mediterranean,532,39,1,Yes,No,5211,94,0,20,Female,Creative,0.63,0.44,0.31,0.52,0.59,2.5
V0262,R013,Sage,Georgian,220,69,2,Yes,No,5858,43,0,26,Male,IT Specialist,0.59,0.72,0.25,0.54,0.49,2.5
V0270,R014,Onest,Author's,190,51,1,Yes,No,5936,38,0,53,Male,Sales,0.2,0.49,0.3,0.63,0.41,1.5
V0840,R028,L.E.S.,Author's,194,73,3,No,No,5713,23,0,27,Male,Sales,0.64,0.29,0.61,0.43,0.74,1.5
V0265,R037,Gastronome,Fusion,237,68,2,No,No,5618,43,0,58,Male,Creative,0.54,0.33,0.43,0.49,0.8,3.0
V0707,R031,Natakhtari,Italian,223,63,1,No,No,3412,41,0,37,Female,Creative,0.61,0.61,0.55,0.5,0.58,3.0
V0957,R012,Maya,Italian,215,48,2,No,Yes,5227,40,1,63,Male,Service Worker,0.76,0.8,0.46,0.7,0.9,4.5
V0158,R023,Cristal Room Baccarat,French,108,79,2,Yes,No,6023,19,0,51,Female,Student,0.8,0.41,0.66,0.6,0.26,2.0
V0753,R013,Sage,Georgian,220,69,2,Yes,No,5858,43,0,56,Female,Manager,0.44,0.36,0.68,0.61,0.56,2.5
V0027,R024,Pinch,Fusion,125,73,1,Yes,No,2893,13,0,51,Male,Entrepreneur,0.61,0.31,0.24,0.69,0.42,2.0
V0962,R024,Pinch,Fusion,125,73,1,Yes,No,2893,13,0,36,Male,Medical,0.68,0.51,0.7,0.7,0.81,3.5
V0336,R014,Onest,Author's,190,51,1,Yes,No,5936,38,0,42,Male,Entrepreneur,0.65,0.83,0.45,0.66,0.33,1.0
V0731,R036,Volna,Georgian,254,48,1,Yes,Yes,3387,46,0,47,Female,Service Worker,0.6,0.47,0.53,0.66,0.53,3.5
V0508,R014,Onest,Author's,190,51,1,Yes,No,5936,38,0,62,Female,Medical,0.94,0.58,0.6,0.64,0.38,2.0
V0897,R017,15 Kitchen + Bar,Mediterranean,231,101,1,Yes,Yes,1667,28,0,50,Female,Scientist,0.41,0.47,0.53,0.56,0.27,4.0
V0537,R012,Maya,Italian,215,48,2,No,Yes,5227,40,1,48,Male,Student,0.54,0.74,0.39,0.53,0.84,4.5
V0670,R019,BOLSHOI,Italian,256,89,3,Yes,No,5882,47,0,45,Female,Finance,0.69,0.5,0.64,0.66,0.43,3.5
V0970,R010,Cafe Pushkin,Italian,144,63,3,No,No,3361,20,0,51,Male,Medical,0.96,0.67,0.22,0.6,0.53,3.5
V0266,R008,Biologie,Asian,96,53,2,Yes,Yes,3185,5,0,28,Male,Creative,0.69,0.38,0.62,0.66,0.25,2.0
V0239,R013,Sage,Georgian,220,69,2,Yes,No,5858,43,0,55,Female,Student,0.76,0.54,0.35,0.69,0.28,2.0
V0951,R006,Beluga,Georgian,424,64,3,Yes,Yes,6502,72,0,59,Male,Service Worker,0.56,0.55,0.62,0.48,0.33,2.5
V0344,R014,Onest,Author's,190,51,1,Yes,No,5936,38,0,39,Male,Student,0.66,0.67,0.33,0.57,0.27,1.0
V0350,R025,Technikum,Author's,132,54,2,Yes,No,5274,16,0,35,Male,Manager,0.72,0.42,0.46,0.71,0.84,1.0
V0257,R017,15 Kitchen + Bar,Mediterranean,231,101,1,Yes,Yes,1667,28,0,58,Female,Scientist,0.31,0.52,0.61,0.47,0.39,4.0
V0928,R023,Cristal Room Baccarat,French,108,79,2,Yes,No,6023,19,0,56,Female,Student,0.37,0.57,0.46,0.7,0.47,2.0
V0978,R004,SAVVA,Seafood,186,168,1,Yes,No,4008,27,0,60,Male,Sales,0.79,0.6,0.31,0.54,0.21,2.0
V0747,R043,Pavilion,Asian,96,110,3,Yes,No,3855,13,0,20,Male,Medical,0.75,0.63,0.0,0.49,0.79,3.5
V0424,R023,Cristal Room Baccarat,French,108,79,2,Yes,No,6023,19,0,65,Male,IT Specialist,0.52,0.44,0.52,0.54,0.17,3.0
V0504,R021,Darbar,French,106,68,3,No,No,3143,13,0,62,Male,Scientist,0.36,0.68,0.37,0.7,0.42,3.5
V0805,R035,Avocado Queen,Georgian,271,72,2,No,Yes,4157,57,0,29,Male,Student,0.48,0.54,0.77,0.59,0.55,3.0
V0758,R014,Onest,Author's,190,51,1,Yes,No,5936,38,0,43,Female,Entrepreneur,0.39,0.65,0.64,0.65,0.38,1.0
V0158,R022,Severyane,Fusion,161,86,1,Yes,Yes,5170,29,1,51,Female,Student,0.8,0.41,0.66,0.6,0.26,3.5
V0103,R024,Pinch,Fusion,125,73,1,Yes,No,2893,13,0,26,Female,Sales,0.5,0.69,0.72,0.6,1.0,3.0
V0725,R004,SAVVA,Seafood,186,168,1,Yes,No,4008,27,0,50,Female,Creative,0.53,0.71,0.69,0.64,0.59,1.5
V0301,R022,Severyane,Fusion,161,86,1,Yes,Yes,5170,29,1,37,Male,Medical,0.53,0.71,0.61,0.54,0.53,5.0
V0138,R049,Margarita Bistro,Georgian,266,63,3,No,No,3019,49,0,39,Male,Scientist,0.84,0.39,0.82,0.49,0.52,3.0
V0334,R006,Beluga,Georgian,424,64,3,Yes,Yes,6502,72,0,45,Female,Sales,0.61,0.68,0.5,0.73,0.38,3.0
V0515,R036,Volna,Georgian,254,48,1,Yes,Yes,3387,46,0,62,Female,Entrepreneur,0.45,0.53,0.89,0.68,0.64,3.0
V0965,R013,Sage,Georgian,220,69,2,Yes,No,5858,43,0,62,Female,IT Specialist,0.59,0.46,0.55,0.43,0.59,3.0
V0089,R032,Expedition,Asian,155,146,1,No,No,4513,30,0,38,Male,Sales,0.55,0.54,0.62,0.7,0.46,3.0
V0633,R014,Onest,Author's,190,51,1,Yes,No,5936,38,0,56,Female,Sales,0.61,0.91,0.48,0.53,0.67,1.5
V0354,R039,Fahrenheit,Georgian,154,84,1,No,Yes,4056,31,1,47,Male,Finance,0.64,0.72,0.55,0.57,0.62,4.0
V0221,R035,Avocado Queen,Georgian,271,72,2,No,Yes,4157,57,0,37,Female,Creative,0.69,0.52,0.28,0.64,0.78,3.5
V0841,R006,Beluga,Georgian,424,64,3,Yes,Yes,6502,72,0,40,Male,Medical,0.59,0.43,0.87,0.65,0.03,3.0
V0447,R013,Sage,Georgian,220,69,2,Yes,No,5858,43,0,43,Female,Service Worker,0.44,0.43,0.37,0.83,0.31,1.5
V0785,R012,Maya,Italian,215,48,2,No,Yes,5227,40,1,20,Female,Service Worker,0.7,0.54,0.55,0.56,0.0,3.5
V0167,R024,Pinch,Fusion,125,73,1,Yes,No,2893,13,0,22,Female,Sales,0.51,0.88,0.61,0.61,0.28,3.0
V0867,R027,Wine & Crab,Russian,274,46,2,Yes,No,2744,44,0,60,Male,Manager,0.46,0.59,0.45,0.49,0.46,2.5
V0127,R036,Volna,Georgian,254,48,1,Yes,Yes,3387,46,0,64,Female,Manager,0.44,0.51,0.51,0.44,0.44,3.0
V0968,R017,15 Kitchen + Bar,Mediterranean,231,101,1,Yes,Yes,1667,28,0,48,Female,Creative,0.53,0.3,0.77,0.59,0.3,2.5
V0284,R030,Dr. Zhivago,Asian,337,58,1,Yes,Yes,2952,54,0,31,Female,Finance,0.61,0.52,0.59,0.71,0.62,3.5
V0404,R046,Harvest,Japanese,103,150,1,No,No,5453,13,0,26,Male,Sales,0.61,0.46,0.68,0.46,0.26,2.0
V0811,R016,Padron,Mediterranean,440,60,1,Yes,No,4316,76,0,43,Male,Creative,0.64,0.56,0.28,0.5,0.35,3.0
V0418,R038,Corner Cafe,Author's,175,125,2,Yes,No,5889,21,0,63,Male,Scientist,0.49,0.31,0.36,0.63,0.3,1.5
V0592,R003,White Rabbit,Author's,392,55,1,Yes,No,5149,64,0,47,Male,Student,0.53,0.32,0.55,0.51,0.36,1.5
V0694,R031,Natakhtari,Italian,223,63,1,No,No,3412,41,0,64,Male,Entrepreneur,1.0,0.64,0.62,0.54,0.47,3.0
V0802,R042,AQ Kitchen,Author's,162,31,1,Yes,No,2506,32,0,25,Female,Sales,0.54,0.62,0.84,0.75,0.76,2.0
V0537,R026,Grace Bistro,Japanese,77,50,2,Yes,No,9397,19,0,48,Male,Student,0.54,0.74,0.39,0.53,0.84,2.0
V0968,R040,Alice,Fusion,149,71,1,Yes,No,2637,23,2,48,Female,Creative,0.53,0.3,0.77,0.59,0.3,4.0
V0130,R028,L.E.S.,Author's,194,73,3,No,No,5713,23,0,60,Female,Entrepreneur,0.57,0.75,0.72,0.4,0.75,1.0
V0749,R001,Twins Garden,Seafood,136,54,1,Yes,No,5306,32,0,62,Male,Service Worker,0.58,0.78,0.63,0.6,0.25,1.0
V0796,R033,Assunta Madre,Russian,282,54,3,Yes,No,3981,45,0,50,Female,Sales,0.64,0.26,0.24,0.46,0.0,2.5
V0214,R011,Probka,Georgian,332,61,1,No,No,3747,57,1,42,Female,IT Specialist,0.51,0.39,0.46,0.59,0.38,3.5
V0316,R024,Pinch,Fusion,125,73,1,Yes,No,2893,13,0,22,Female,Manager,0.73,0.73,0.38,0.56,0.39,2.5
V0500,R037,Gastronome,Fusion,237,68,2,No,No,5618,43,0,38,Male,Finance,0.58,0.88,0.13,0.42,0.27,3.0
V0842,R029,Chemodan,Italian,102,48,1,Yes,No,4062,19,0,27,Male,Student,0.62,0.6,0.46,0.65,0.35,1.5
V0660,R018,La Marée,Asian,67,56,2,No,No,5289,11,0,60,Female,Medical,0.55,0.5,0.38,0.37,0.46,3.5
V0669,R008,Biologie,Asian,96,53,2,Yes,Yes,3185,5,0,49,Male,Creative,0.56,0.66,0.49,0.6,0.5,3.0
V0475,R019,BOLSHOI,Italian,256,89,3,Yes,No,5882,47,0,62,Male,Scientist,0.61,0.79,0.26,0.8,0.65,3.5
V0375,R029,Chemodan,Italian,102,48,1,Yes,No,4062,19,0,56,Female,Manager,0.81,0.61,0.5,0.54,0.68,2.5
V0517,R040,Alice,Fusion,149,71,1,Yes,No,2637,23,2,62,Female,Manager,0.56,0.62,0.6,0.56,0.83,5.0
V0208,R007,Grand Cru,Italian,227,46,2,No,No,5496,38,1,23,Female,Service Worker,0.77,0.82,1.0,0.56,0.68,4.0
V0673,R020,Peshi,Fusion,142,37,1,Yes,No,5212,22,0,58,Male,IT Specialist,0.48,0.61,0.48,0.79,0.56,3.0
V0672,R033,Assunta Madre,Russian,282,54,3,Yes,No,3981,45,0,49,Female,Entrepreneur,0.61,0.42,0.51,0.68,0.49,2.0
V0767,R016,Padron,Mediterranean,440,60,1,Yes,No,4316,76,0,65,Male,Finance,0.54,0.68,0.61,0.36,0.22,3.0
V0721,R049,Margarita Bistro,Georgian,266,63,3,No,No,3019,49,0,50,Female,Manager,0.58,0.35,0.68,0.81,0.19,1.5
V0512,R048,Eggsellent,Seafood,143,93,2,No,Yes,3760,23,0,33,Female,Service Worker,0.3,0.63,0.68,0.42,0.52,1.5
V0183,R005,Selfie,Seafood,192,129,1,No,Yes,2810,38,0,53,Female,Creative,0.62,0.62,0.31,0.57,0.5,2.5
V0419,R035,Avocado Queen,Georgian,271,72,2,No,Yes,4157,57,0,21,Male,Sales,0.89,0.73,0.49,0.62,0.34,3.0
V0598,R009,Sakhalin,Seafood,128,78,2,Yes,No,4288,29,0,37,Male,Finance,0.71,0.61,0.65,0.57,0.57,1.5
V0958,R046,Harvest,Japanese,103,150,1,No,No,5453,13,0,18,Female,Service Worker,0.69,0.31,0.58,0.44,0.9,2.0
V0853,R025,Technikum,Author's,132,54,2,Yes,No,5274,16,0,36,Female,Sales,0.74,0.08,0.6,0.6,0.57,1.0
V0939,R026,Grace Bistro,Japanese,77,50,2,Yes,No,9397,19,0,30,Male,Creative,0.72,0.92,0.37,0.6,0.35,1.5
V0148,R050,Probka na Tsvetnom,Author's,173,37,2,Yes,Yes,3768,27,0,43,Male,IT Specialist,0.57,0.36,0.63,0.68,0.59,2.0
V0920,R014,Onest,Author's,190,51,1,Yes,No,5936,38,0,53,Female,Medical,0.9,0.32,0.77,0.56,0.28,1.0
V0056,R033,Assunta Madre,Russian,282,54,3,Yes,No,3981,45,0,38,Female,Finance,0.66,0.51,0.74,0.66,0.61,3.5
V0652,R023,Cristal Room Baccarat,French,108,79,2,Yes,No,6023,19,0,43,Male,IT Specialist,0.69,0.54,0.34,0.65,0.51,3.0
V0680,R043,Pavilion,Asian,96,110,3,Yes,No,3855,13,0,61,Female,Student,0.62,0.65,0.75,0.43,0.83,2.0
V0439,R039,Fahrenheit,Georgian,154,84,1,No,Yes,4056,31,1,40,Male,Medical,0.51,0.16,0.59,0.61,0.56,4.5
V0722,R022,Severyane,Fusion,161,86,1,Yes,Yes,5170,29,1,60,Female,Service Worker,0.76,0.35,0.43,0.68,0.25,3.5
V0092,R037,Gastronome,Fusion,237,68,2,No,No,5618,43,0,56,Female,Service Worker,0.64,0.4,0.54,0.53,0.62,2.0
V0017,R043,Pavilion,Asian,96,110,3,Yes,No,3855,13,0,20,Female,Student,0.32,0.59,0.36,0.73,0.44,2.5
V0203,R039,Fahrenheit,Georgian,154,84,1,No,Yes,4056,31,1,18,Female,Scientist,0.62,0.41,0.46,0.69,0.11,4.5
V0753,R016,Padron,Mediterranean,440,60,1,Yes,No,4316,76,0,56,Female,Manager,0.44,0.36,0.68,0.61,0.56,2.5
V0373,R030,Dr. Zhivago,Asian,337,58,1,Yes,Yes,2952,54,0,47,Male,Scientist,0.64,0.74,0.62,0.7,0.67,4.0
V0196,R037,Gastronome,Fusion,237,68,2,No,No,5618,43,0,48,Female,Medical,0.49,0.57,0.18,0.65,0.94,4.0
V0335,R015,Big Wine Freaks,Fusion,136,36,2,No,No,5540,22,0,35,Male,Manager,0.88,0.44,0.36,0.38,0.54,2.5
V0551,R032,Expedition,Asian,155,146,1,No,No,4513,30,0,35,Female,Finance,0.75,0.63,0.57,0.68,0.33,2.5
V0635,R024,Pinch,Fusion,125,73,1,Yes,No,2893,13,0,36,Male,Service Worker,0.39,0.77,0.68,0.75,0.37,2.0
V0300,R017,15 Kitchen + Bar,Mediterranean,231,101,1,Yes,Yes,1667,28,0,38,Female,Manager,0.46,0.42,0.63,0.36,0.46,3.0
V0991,R049,Margarita Bistro,Georgian,266,63,3,No,No,3019,49,0,36,Female,Service Worker,0.63,0.43,0.3,0.68,0.38,2.0
V0419,R020,Peshi,Fusion,142,37,1,Yes,No,5212,22,0,21,Male,Sales,0.89,0.73,0.49,0.62,0.34,2.5
V0283,R031,Natakhtari,Italian,223,63,1,No,No,3412,41,0,24,Male,Sales,0.51,0.48,0.45,0.59,0.3,2.5
V0777,R040,Alice,Fusion,149,71,1,Yes,No,2637,23,2,31,Female,Entrepreneur,0.5,0.6,0.61,0.38,0.56,4.5
V0434,R011,Probka,Georgian,332,61,1,No,No,3747,57,1,63,Male,Student,0.72,0.8,0.51,0.84,0.37,3.5
V0118,R013,Sage,Georgian,220,69,2,Yes,No,5858,43,0,59,Male,Service Worker,0.51,0.61,0.54,0.73,0.58,2.0
V0810,R025,Technikum,Author's,132,54,2,Yes,No,5274,16,0,20,Male,Sales,0.63,0.28,0.49,0.5,0.61,2.0
V0225,R028,L.E.S.,Author's,194,73,3,No,No,5713,23,0,50,Female,Medical,0.58,0.55,0.78,0.67,0.15,1.0
V0882,R019,BOLSHOI,Italian,256,89,3,Yes,No,5882,47,0,51,Female,Creative,0.93,0.55,0.26,0.62,0.03,2.0
V0696,R033,Assunta Madre,Russian,282,54,3,Yes,No,3981,45,0,55,Male,IT Specialist,0.79,0.3,0.58,0.66,0.31,3.0
V0402,R032,Expedition,Asian,155,146,1,No,No,4513,30,0,53,Male,Student,0.77,0.66,0.58,0.53,0.23,2.0
V0215,R007,Grand Cru,Italian,227,46,2,No,No,5496,38,1,20,Male,Entrepreneur,0.71,0.53,0.43,0.65,0.64,3.5
V0283,R041,Aist,Mediterranean,127,59,1,No,No,5174,19,0,24,Male,Sales,0.51,0.48,0.45,0.59,0.3,2.5
V0484,R047,Sartoria Lamberti,Italian,147,39,2,Yes,No,5986,28,0,59,Male,Finance,0.77,0.61,0.23,0.44,0.11,3.0
V0707,R018,La Marée,Asian,67,56,2,No,No,5289,11,0,37,Female,Creative,0.61,0.61,0.55,0.5,0.58,1.5
V0553,R001,Twins Garden,Seafood,136,54,1,Yes,No,5306,32,0,38,Female,Manager,0.56,0.6,0.57,0.82,0.64,1.0
V0088,R021,Darbar,French,106,68,3,No,No,3143,13,0,57,Female,Service Worker,0.45,0.47,0.75,0.5,0.15,1.5
V0703,R030,Dr. Zhivago,Asian,337,58,1,Yes,Yes,2952,54,0,58,Male,Manager,0.55,0.53,0.34,0.63,0.57,3.5
V0988,R044,Pushkin,Mediterranean,532,39,1,Yes,No,5211,94,0,39,Female,Sales,0.44,0.83,0.8,0.8,0.54,3.5
V0984,R029,Chemodan,Italian,102,48,1,Yes,No,4062,19,0,44,Female,Scientist,0.63,0.66,0.74,0.64,0.31,3.5
V0496,R040,Alice,Fusion,149,71,1,Yes,No,2637,23,2,61,Female,Manager,0.72,0.68,0.41,0.6,0.77,5.0
